Stimulation_Day5_Donor1_IL-15	Stimulation_Day5_Donor1_Mabkine	Stimulation_Day5_Donor2_IL-15	Stimulation_Day5_Donor2_Mabkine	Stimulation_Day5_Donor3_IL-15	Stimulation_Day5_Donor3_Mabkine
GALNT7	55	81	79	96	92	54
GALNT8	0	2	2	1	1	1
GALNT9	2	5	8.000000271497	5	8.0000002822	3
GALNTL5	0	1	0	0	3	1
GALNTL6	0	1	0	6	0	0
GALP	0	0	2	1	0	1
GALR1	1	0	0	3	1	1
GALR2	8	8	3	10	2	0
GALR3	3	4	2	6	1	1
GALT	287	238.9997	342	307	394.0002	180.9997
GAMT	114.1134	103.7616	217.749	108.8535	197.7407	50.7645
GAN	10	9	16	11	10	5
GANAB	1041	1131.999	1247.002	1384.003	1128	626.9999
GANC	49	47	61	50	67	52
GAP43	1	0	0	1	2	0
GAPDH	164063.818	287549.714	119061.8872	337374.823	82575.0414	78000.0406
GAPDHS	16	18	17	16	24	16
GAPT	8	7	18	13	15	7
GAPVD1	684.246	635.729	757.873	941.887	890.36	435.205
GAR1	140.9996	131.9996	113	257.9998	120	134.9999
GAREM	4	3	8	12	15	7
GAREML	61.25577	42.1621	82.1356	68.57408	110.4176	49.93396
GARNL3	2	1	5	8	6	3
GARS	1255	2049	1264	5110	1320	1538
GART	760.6656	932.9995	751.3792	1431.43920010364	1003.39250305797	797.047000521336
GAS1	2	0	4	2	7	3
GAS2	0	2	5	2	1	1
GAS2L1	5	6.0000000289666	4	8.999997	6	6
GAS2L2	1	2	5	2	1	1
GAS2L3	38	45	62	56	31	26
GAS5	512	734	381	1899	414	381
GAS5-AS1	6	2	2	4	2	3
GAS6	20.99996	27	11	8	41.00005	18.99996
GAS6-AS1	4	3	0	7	17	6
GAS7	355.0388	347.8133177642	240.5431	502.379	203.7793	198.1386
GAS8	16.57086	10.2166	12.7757	13.6014	25.66158	8
GAST	0	0	0	0	0	0
GATA1	0	0	0	22	3	9
GATA2	5	1	2	27.00004992	4	8
GATA3	381.0005	275.0002	367	418	484	173.0001
GATA3-AS1	2	2	3	2	0	2
GATA4	1	1	4	7	4	1
GATA5	2	2	1	6	3	1
GATA6	2	1	5	7	1	4
GATAD1	175.081	165.682	183.815	195.473	238.472	147.274
GATAD2A	1491	1658	1345	1627	1568	889
GATAD2B	376	383	478	525	669	376
GATC	195.2625	164.214	258.5143	257.2994	314.2375	159.0133
GATM	6	4	5	2	17	0
GATM-AS1	27.0358	19.7061	35.8528	53.4346	66.5985	24.7615
GATS	66.5254749	43.79193	103.0427	61.89730904	111.59856	42.74601
GATSL1	3.44022	1.61617	0	5.5	1.03438	1.5
GATSL2	3.44022	1.61617	5.72065	5.5	1.03438	1.5
GATSL3	95	137	116	157	109	64
GBA	364.0007	293.67876	555.27921	605.5906	612.1502	311.2186
GBA2	243.979	197.415	337.584	318.433	370.573	90
GBA3	1	1	0	0	1	0
GBAP1	47.9993	28.3209	32.721	71.4089	91.8501	23.7819
GBAS	227	218.99951	246	252	264	172
GBE1	145	170	140	192	232	139
GBF1	523.9999	562.0006	739.999	843.001	792.999765743	384.999934
GBGT1	4	11	8	13	12	6
GBP1	306.307	249.324	545.726	454.445	952.224	290.982
GBP1P1	0	0	1.00484	0	2.04511	1.01836
GBP2	583.693	392.302	1249.58	678.555	1378.96	527
GBP3	203	148.374	288.694	309	430.768	136
GBP4	809.933	618.424	1786.42	1282.39	2233.96	858.049
GBP5	889.222	881.968	2713.763	1767.411	4653.78	1560.133
GBP6	84.3423	63.6418	119.502	132.506	143.243	87.7771
GBP7	0	1	2	8	2	0
GBX1	0	0	0	0	0	1
GBX2	1	0	1	1	0	0
GC	2	1	9	10	12	5
GCA	39	31	40	59	59	31
GCAT	247.1172	323.8522	235.991	284.3637	210.5814	96.6484
GCC1	288	258	293	496	480	257
GCC2	271.46028	219.14302	275.487	301.91015	449.4711	239.5226
GCDH	372	435	421	578	463	255
GCFC2	64.0824	76.5875	90.28286	120.222	139.49249	81.74651
GCG	1	1	1	1	0	1
GCGR	2	1	4	7	2	4
GCH1	137	121	169.0002	238.99986406	193.9996	88
GCHFR	436	298	474	276	421	112
GCK	1	5	3	7	2	6
GCKR	0	0	4	2	4	0
GCLC	87.0000159	61	55.00000518	87	169.000032	48
GCLM	85.8946	69.785	102.678	116.587	136.558	77.869
GCM1	22.3967	22.5285	33.5311	31.027	36.5991	20.3118
GCM2	2	0	0	1	1	0
GCN1L1	861	896	852	1314	994	626
GCNT1	314.2979	383.5033	358.6609	489.403	338.409	300.95679
GCNT2	34.9001	31.4097	47.92002	38.64289	52.4317	35.2281
GCNT3	0	0	2	1	0	5
GCNT4	1	0	1	2	0	0
GCNT7	16	8	21	10	25	7
GCOM1	0	0	0	0	0	1.6901
GCSAM	1.0000000268941	6	3.0000000147579	6.000002332787	4.00000370671	2.0000001984254
GCSAML	20.5356	17.3567	41.0004	52.0687	38.0514	36.6723
GCSAML-AS1	1	0	4	4.67595	4	4
GCSH	74	96.99997	79.9826	137	79.96335	68.9605
GCSHP3	9	13	17	15	13	7
GDA	1	4	5.000002	3	4.00604	2
GDAP1	73.00000184	56	46	110.00002	94	41
GDAP1L1	8	7	9	7	11	3
GDAP2	229.1296	227.378	327.8658	325.0596	385.6533	205.4279
GDE1	353.652	282.263	449	427.463	553.552	251
GDEP	1	0	0	0	0	0
GDF1	2.5	1	1.21786	1.40395	1.58453	0
GDF10	1	2	3	2	6	1
GDF11	62.931	48.9564	85.4096	70.3047	131.388	45.6113
GDF15	1	6	3	11	5	7
GDF2	2	0	6	3	0	0
GDF3	0	0	0	0	0	0
GDF5	1	0	1	4	10	1
GDF6	1	2	6	6	3	6
GDF7	5	1	3	6	2	4
GDF9	1	2	4	4	2	0
GDI1	176	152	184	227	204	63
GDI2	3007.997	4080.001	2584.004	5253.004	2823.001	1889.004
GDNF	15.1329	16.7216	31.4864	31.7766	31.4713	12.8053
GDPD1	59.5198	47.5378	86.6393	120.19486	149.075	74.7898
GDPD2	7.04023	3.17683	16.6209	14.0495	11.1595	5.06273
GDPD3	7	14	14	12	19	8
GDPD4	1	1	0	0	2	2
GDPD5	27	4	20	19	52	10
GDPGP1	16	6	24	33	39	10
GEM	980	1119	717	1701.998	301	354.0004
GEMIN2	88.00004	113.9999	87.00007	157.9998	99	65
GEMIN4	386	550	418	735	481	393
GEMIN5	92	146	125.000000042746	190.99956832	168	80
GEMIN6	53	60	61	88	63	46
GEMIN7	232.999757	242.9998	237.9996	365.0003	328.9998	157
GEMIN8	132.8375	141.29	171.2483	248.0981	183.671	100.61297
GEMIN8P4	7	7	12	16	9	9
GEN1	186.8351	175.3236	197.16	224.9347	204.2592	118.264
GET4	371	516	423	598	471	236
GFAP	2	7	3	6	8	4
GFER	60	54	57	82	75	12
GFI1	116	115	124	166	146	59.00001
GFI1B	1	1	6	21.00000168422	2	12
GFM1	303	365	373	355	577	358
GFM2	125.0285	154.762	170.9998	212.2196	156.2224776739	94.2176
GFOD1	338.15328	304.3277	319.76058	316.1888	346.96438	133.40988
GFOD2	181.36642	164.4276	253.3448	341.3889	332.6876	185.1864
GFPT1	343.601	362.814	349.58	547.157	367.617000031575	254.857
GFPT2	3	0	4	6	7	3
GFRA1	0	5.22194378	2.48669347867	11.9854	3.245584583	4.8807431504
GFRA2	5	1	9	6	7	2
GFRA3	2	1	1	16	3	1
GFRA4	0	2	1	1	1	3
GFRAL	5.58263	5.28219	11.5296	16.0985	12.8128	6.98151
GGA1	707.0595	731.4576	569.7472	744.611	676.7436	351.515
GGA2	361.608	294.54	312.708	340.278	497.935	238.823
GGA3	426.0003	391.000105312	398.999806	434.9998172	661.00039342	366.0001
GGACT	71.43118	58.313	59.26817	90.6374	89.00003	22.77716
GGCT	401.99975	409.00041	258.9997	603.0007	333.00018	276.00038
GGCX	192.5315	158.732	256.845	261.6415	212.2063	139.532
GGH	401	369	389	565	381	220
GGN	1	0	1	6	1	0
GGNBP1	1	2	0	2	4	1
GGNBP2	710	756	843	1216	1145	553
GGPS1	133.2239	123.3142	170.0086	180.5219	221.1789	124.1935
GGT1	349.6805	328.9010484857	319.995700011727	289.9890658	522.41970923064	250.22652
GGT3P	1.14883	8.9615	6.82043	17.8266	4.58314	5.71065
GGT5	1	1	4	7	2.29963	6
GGT6	38.9244	36.0275	58.6054	62.4003	57.2539	40.0698
GGT7	10	8	26.3038	33.2532	48.2742	20.3007
GGT8P	25.9802	16.2223	44.1869	44.8611	47.9438	14.9541
GGTA1P	1	1	4	2	5	0
GGTLC1	1.03907	4.09384	1.06997	5.08903	4.18468	3.06288
GGTLC2	0	0	0	2.97361	3.57378	0
GH1	1	1	1	2.36307	0	1
GH2	0	0	0	2.63693	0	1
GHDC	127.79719	95.413098129	147.8218	152.91725	134.5143268377	87.68239
GHITM	2791	3580	3171	6354	3521	2021
GHR	20.22526	22.8665	37.95838	45.97928	51.8028	25.6857
GHRH	0.9999999465	0	0	0	0	3.999999522
GHRHR	0	2	0	5	0	0
GHRL	4.16773	8	11	7.99999	9.11957	5.000006
GHRLOS	55.83227	54.00002	79.99995	61.00008	122.88041	60.99998
GHSR	6	7	22.00001	3	23.99998	4.999998
GID4	46.8951	31	43	72.2978	64.0826	40.203
GID8	668	641	595	820	858	476
GIF	1	0	2	0	3	0
GIGYF1	358	265	397	478	474	208
GIGYF2	574.6783	565.9996	669.8153	722.997	892.5859	521.7988
GIMAP1	154.535	120.284	256.641	179.681	372.503	115.01
GIMAP1-GIMAP5	22.6716	58.7366	99.8704	79.1868	138.604	66.5305
GIMAP2	202	153	354	262	348	149
GIMAP4	814	839	2127	1113	3064	863
GIMAP5	604.884	413.153	1132.43	424.782	1975.34	432.376
GIMAP6	1903	1645.996	2071.999	1913.999	2381.001	867.0002
GIMAP7	1179	896	1925	1149	3024	599
GIMAP8	124	118	211	102	260	82
GIMD1	0	0	0	0	0	0
GIN1	45	28	41.019	47.0119	41	40
GINM1	104	64	110	119	125	77
GINS1	174.399	198.565	239.014	356.959	295.255	197.039
GINS2	837	981	706	1177	691	480
GINS3	262.0973	162.0264	211.6046	310.119	292.3161	170.2463
GINS4	175.196	205.087	288.679	310.415	320.645	167.394
GIP	0	0	3	4	0	0
GIPC1	90	67.99997	85.00002749	101.000100301982	115.00002	31.99997
GIPC2	4	1	5	3	3	2
GIPC3	2	1	7	5	6	4
GIPR	24	17	54	20	66	30
GIT1	421.000000209456	394.0000034047	491	746	509.000000195811	328.00000104858
GIT2	782.9999	816.00046183117	1129.00033	1100.0001	1200.0001	655.99935
GJA1	6	5	8	3	7	4
GJA10	0	0	0	1	0	0
GJA3	0	0	7	6	7	4
GJA4	0	0	2	7	0	4
GJA5	0.999999736	1.99999649	7	0	3.00000092	3.99999875
GJA8	2	0	1	1	12	2
GJA9	2.55007	0	0	0	0	0
GJA9-MYCBP	2.41891	5.44419	19.11249	21.75804	15.338761	9.39317
GJB1	1	0	3	0	0	1
GJB2	0	1	0	3	0	1
GJB3	1	0	5	6	1	0
GJB4	1	0	1	2	0	1
GJB5	0	0	1	1	1	2
GJB6	1	3	3	4	3	2
GJB7	26	14	30	42.0309	25.0359	17.0453
GJC1	114.7556	78.7697	159.6566	162.6067	203.0735	100.889977507
GJC2	0	4	4	2	1	0
GJC3	2	0	0	2	0	1
GJD2	0	2	2	4	1	0
GJD3	8	14	16	28	18	10
GJD4	16.5215	5.09719	38.18	29.2116	39.9165	21.4541
GK	64.7656118096	68.39197	111.30878	130.38045	90.777965	92.50246
GK2	0	1	1	0	0	0
GK3P	2.0629	7.18029	3.22913	6.89753	15.31	4.66641
GK5	378.842	322.968	659.534	495.413	1092.59	418.355
GKAP1	3	0	7	1	6	3
GKN1	0	0	0	0	0	0
GKN2	1	0	2	2	0	1
GLA	147	173	122	162	170	127
GLB1	367.6077	363.806	513	540	574.5783	271.9996
GLB1L	25.2898	32.9759	36.1079	40.6168	29.0019	19.1271
GLB1L2	3	2	11.2684	7.43593	15	2
GLB1L3	24.448	15.9236	28.5732	40.6878	27.8971	21.7601
GLCCI1	99.2071	71.4059	96.0525	80.6061	159.209	45.1984
GLCE	18	16	30	45	24	8
GLDC	2	2	2	6	3	3
GLDN	5.24553	5.18526	18.3715	15.4864	14.4534	4.20034
GLE1	684.9999	811.0001	767.0004	1015.9997	891.0004	604.0001
GLG1	1531.85976	1355.2480009	1892.16753	1764.7880194	2504.09292	951.3251277
GLI1	56	24	38	44	52	23
GLI2	9.04915	10.0093	10.0756	6.00804	4.01079	8
GLI3	3	5	9	11	43	10
GLI4	30	22	19	17	21	11
GLIPR1	115.884	65.4072	189.337	111.517	315.51	127.593
GLIPR1L1	1	0	6	2	4	2
GLIPR1L2	22.60716	28.6948	65.9195	64.0262	72.44641	66.222
GLIPR2	2171	1316	2159	1828	3068	1087
GLIS1	2	3	6	2	7	1
GLIS2	3	1	16	12	13	8
GLIS3	1	0	13	7	2	1
GLIS3-AS1	1	1	1	4	0	1
GLMN	104	114	107	165	147	122
GLO1	676	775	595	964	806	745
GLOD4	692	695	646	1021.69	910	460
GLOD5	0	0	1	0	1	0
GLP1R	7.21622	1.00099	7.08836	8.13484	4.04039	5.02836
GLP2R	1	0	0	7	1	3
GLRA1	0	1.000000432386	1	0	2.00000138654	1.000000073439
GLRA2	2.00549	0	3.01514	1.0024	11.027	2.01548
GLRA3	1.000000121254	0.99999978106	2.0000000512646	3.00000370254	1.99999538346	3.00000108433
GLRA4	0	0	3	0	0	0
GLRB	2.00000121	0	0	2	6.000004	0
GLRX	486.00036	539.99966	473.0004	610.9995	530.9999	241.00027
GLRX2	115	140.00021	80.00004	191.0002	71.99997	70.99995
GLRX3	694.904	643.974	639.313	1052.132	836.03	434.39
GLRX5	67	67	52	83	72	34
GLS	263	276.0002	339	439	374	220.0002
GLS2	31	15	26	15	27	9
GLT1D1	1	3	9	6	8	1
GLT25D1	938.37	1069.81	874.574	1410.4	1086.6	667.545
GLT25D2	120	46	94	33	195	56
GLT6D1	2	0	1	0	6	2
GLT8D1	127	97.9999	163	161	169	85
GLT8D2	3	2	4	3	2	1
GLTP	485.288	488.562	514.668	675.495	717.882	355.834
GLTPD1	79	103	71	122	62	44
GLTPD2	7	9	3	7	4	4
GLTSCR1	29	20	22	38	40	14
GLTSCR1L	106	107	126	144	214	139
GLTSCR2	227	232	191.991	251.996	126.958	61
GLUD1	298.7	284.649	287.701	388.593	345	185.694
GLUD1P3	41	32	62.7827	54	74.8403	18
GLUD1P7	29.7211	31.5868	47.418	69.1328	85.0164	44.2202
GLUD2	2.30035	3.35103	2.29939	3.4069	0	4.30601
GLUL	624	587.99967	909	1146	1015	688.0001
GLYAT	5	2	10	12	15.00002	8
GLYATL1	3	4	6	8	5	3
GLYATL2	2	0	1	3	1	2
GLYATL3	0	0	1	2	1	0
GLYCAM1	2	0	1	3	0	1
GLYCTK	319.9999	291.00031	369.9998	413.00038	500.9996	218.00000130176
GLYR1	296.637	304.985	321.601	469.647	492.097	230.038
GM140	0	0	1	0	0	0
GM2A	94.7421	106.48	152.307	163.837	121.766	74.5492
GMCL1	333.887	370.934	494.804	590.9	559.955	298
GMCL1P1	25.1126	16.0664	32.1964	39.0998	33.0447	24
GMDS	328.99952	359	302	497.99988	294	242.9996
GMEB1	456.793	412.93	533.064	703.003	632.24	328.293
GMEB2	187	189	212	226	276	169
GMFB	186	198	214	209	317	146
GMFG	2981	3354	2187	3197	2240	931
GMIP	196	207	274	288	278	138
GML	0	0	1	5	1	0
GMNC	0	0	1	2	0	0
GMNN	476.99928	546.00002	448.99998	849.99996	455.00017	358.00027
GMPPA	336.0005	388.9996	332.0001	570.0003	300.0004	179.9997
GMPPB	224.00001	283	189.9996	419.9998	248.0002	158.9998
GMPR	17	28	21	115	29	24
GMPR2	363	354.9996	364.0005	548.0006	416.0001	212
GMPS	775	817	884	1157	905	609
GNA11	0	4	4	4	5	1
GNA12	106	75	87	197	141	64
GNA13	351	331	491	399	700	274
GNA14	0	1	3	0	3	0
GNA15	196	374	99	488	62	88
GNAI1	2	3.02247	8	12.2489	4	2
GNAI2	1514	1553.998	1007	1986.999	1063	390
GNAI3	1019.11	1481.99	1168.63	1952.87	1472.92	763.057
GNAL	60.2336	42.81129	141.0104	43.6379	274.47952	53.47128
GNAO1	3	4	8	24	7	6
GNAQ	37	42	33	91	28	18
GNAS	1732.00024	1642.99935	1975.00273	2480.0025	2186.9991	931.9999
GNAS-AS1	3	0	1	2	3	0
GNAT1	18.66724	8.38457	23.17291	24.11104	36.44747	20.80637
GNAT2	15	16	21	30	19	23
GNAT3	0	2	0	1	0	2
GNAZ	9	7	6	13	20	9
GNB1	991	1004	922	1572	1068	586
GNB1L	157.241	127.21	212	170.935	238.727	92
GNB2	581	677	457	858	500	230
GNB2L1	25481	36441	20911	54059	20550	12210
GNB3	36	46	43	58	63	31
GNB4	211.891	278.314	249.112	496.554	210.762	199.121
GNB5	313.122	255.414	432	373.334	460.582	193.795
GNE	120.101	76.8453188850392	164.62603454	156.220500138889	181.8877565407	99.9837001590536
GNG10	243.9997	281.5298	260.0003	315	308.9997	172.0003
GNG11	15	13	11	23	1	3
GNG12	1	5	4	20	8	5
GNG12-AS1	3	3	8	8	22	4
GNG13	0	0	1	1	0	0
GNG2	2090.0017	1931.0008	4236.9987	2958.00223	6159.0033	2128.002
GNG3	1	2	12.6481	3	0	1
GNG4	47.6107	29.8024	71.7930404	95.5177	107.727	54.3514
GNG5	1523	1771	1124	2217	1325	698
GNG7	26.4511	9.77776	38.3248	50.0512	54.5398	27.5977
GNG8	1	1	1	11	8	11
GNGT1	0	0	0	0	1	0
GNGT2	235.5599	170.84119	204.99621	232.047690020532	240.5131	114.17881
GNL1	327.664	304.854	530.778	594.999	512.103	265.477
GNL2	591	733	719	1108	661	516
GNL3	357.9995	474.9998	399.9999	631.0003	435	353.0001
GNL3L	585.623	589.651	655.415	905.99	837.936	510.117
GNLY	171583.98	182801.75	212751.98	121160.46	69036.99	15207.994
GNMT	2	5	2	5	4	3
GNN	8	5	1	6	2	6
GNPAT	589	595	681	839	670	398
GNPDA1	111	132	284	335	342	194
GNPDA2	56.000030328424	48.000000344218	85.00002	73.99998	99.9999963	43
GNPNAT1	143.747	147.785	213.692	232.346	261.274	192.405
GNPTAB	1446.86	1418.99	2110.15	1414.11	3117.38	991.222
GNPTG	395	331	429	430	546	217
GNRH1	28	16.00001	18	31	21.99997	17
GNRH2	0.99999951712	0	0	2	1.0000001528	0
GNRHR	10	0	9	12	20	8
GNRHR2	34.9725	15.1547	44.4487	55.8933	74.6112	44.763
GNS	211.571	188.859	384.923	236.964	502.019	211.154
GOLGA1	132	128	112	131	213	120
GOLGA2	336.158	314.676	454.016	485.153	490.774	295.242
GOLGA2P2Y	0.5	1.5	1.02942	3.6774	0.5	2.5
GOLGA2P3Y	0.5	1.5	1.02942	3.6774	0.5	2.5
GOLGA2P5	96	92	141	120	184.1524	81
GOLGA3	1010.11358	971.8769	1187.90935	1664.10322	1335.3455	868.78833
GOLGA4	478	366.0003	581	653.9996	792	328.9999
GOLGA5	149	154	193	204	290	162
GOLGA6A	6.98477	0	0	14.9019	0	15.9559
GOLGA6B	3.78499	0	3.88724	0	1.91393	3.80408
GOLGA6C	16.5542	16.1637	26.465	22.8848	35.1201	7.17641
GOLGA6D	0	0	0	3.74564	8.23317	0
GOLGA6L1	21.8314	44.6441	35.2538	69.5199	57.0875	29.1206
GOLGA6L10	26.20663	2.99113	24.07629	31.9468	16.66195	3.13182
GOLGA6L4	0	11.7117	22.2853	24.3635	0.026109	11.3817
GOLGA6L5	35.4541	17.6432	60.4458	81.6417	60.358	21.2696
GOLGA6L6	6.27975	4.41592	31.7961	24.8748	33.2398	10.5516
GOLGA6L7P	7.07587	4.00704	10.391	4.39763	4.03073	3.02636
GOLGA6L9	20.0576	12.1465	24.2204	57.8374	63.83760481168	24.4012
GOLGA7	389.99952	303	543.0003	501.9992	891.9998	327.9997
GOLGA7B	14	14	44	18	59	12
GOLGA8A	766.283662	781.547000447255	946.07	1305.37	679.216	419.992
GOLGA8B	647.2315	666.6888	997.0954	1050.7894	1434.8042	721.4784
GOLGA8CP	0	0	1.95954	0	3.44204	0
GOLGA8DP	4.22372	4.53382	11.1616	3.49532	6.27251	3.21593
GOLGA8EP	36.2109	26.7629	30.0839	45.1232	82.4378	44.407
GOLGA8F	3.18154	6.39304	4.68694	0	0	0
GOLGA8G	0	0	0	0	13.056400655009	9.26617
GOLGA8I	343.491	182.913	207.744	198.254	524.191	194.727
GOLGA8S	339.928	236.706	291.75	215.135	737.628	236.87
GOLGA8T	449.557	363.627	374.412	305.461	1012.25	376.118
GOLGB1	612.9999299655	490.9997	630.99968434	771.999356	859.99999	342.99990727
GOLIM4	266	306	263	526	253	253
GOLM1	58	24	108	59.99997	98	29
GOLPH3	172	183	173	217	208	98
GOLPH3L	152.263	114.952	191.935	225.803	248.039	119.463
GOLT1A	0	0	0	0	0	2
GOLT1B	175	196	202	322	198	188
GON4L	493.7719	400.1419	662.2656	676.8821	798.057	350.6807
GOPC	134	137.0002	184.6898	151.5713	270.43	127.839
GORAB	56	38	57	86.99996	69.99997	41
GORASP1	98	108	94	99	155	73
GORASP2	510	637	607	692	671	401
GOSR1	446.3534	381.9743	635.424	836.436	754.9442	413.8839
GOSR2	367.0004	376.0005	579.9996	613	528	323.0004
GOT1	483	693	430	1921	445	424
GOT1L1	0	1	3	3	2	1
GOT2	872	1060	898	1610	671	658
GP1BA	3	4	8	27	13	9
GP1BB	0.474997	3.55413	4.75534	66.4117	4.98529	15.7775
GP2	28.782367	28.213987	45.1716213	39.713427	52.775622	29.124576
GP5	3.04319	5.10529	6.13812	10.1597	8.12375	7.06076
GP6	70.212867	80.3729	74.3382	92.1536	61.54327244	58.6
GP9	1	0	4	29	0	5
GPA33	2	4	4	10	7	15
GPAA1	2627	3227	2905	3633	2885	1484
GPAM	43	46	47	76	71	37
GPANK1	359.3797	307.86672	449.6172	568.25345402	491.5119127195	226.4594
GPAT2	184.047	277	168	228.878	486.843	297.666
GPATCH1	133	156	171	239	196	107
GPATCH11	35	35	42	53	66	26
GPATCH2	53	54	53	68	79	34
GPATCH2L	105	102.633	122.5938	171.9234	220.7849	90.2853
GPATCH3	172	140	189	259	270	138
GPATCH4	266.00039	324	213	518.9996	297	198
GPATCH8	431	423	556	735.000000039356	803	343
GPBAR1	7	11	5	10	14	11.00002494
GPBP1	559.0002	509	755.9999	804.9998	1140.9996	554.99971
GPBP1L1	264	229	307	352	417	204
GPC1	49	38	56	32	21	13
GPC2	3	9	1	6	1	2
GPC3	6	0	6	3	0	3
GPC4	1	0	0	2	1	1
GPC5	0	1	2	6	2	2
GPC5-AS1	0.288546	1.89076	2.22054	2.28397	4.62374	0
GPC6	8	1	4	2	2	1
GPC6-AS2	1	0	3	1	3	1
GPCPD1	152	156	223	218	278	153
GPD1	2	1	8	9	3	2
GPD1L	135	120	165	135	180	87
GPD2	81	54	109	97	147.0001	61
GPER	1	2	12	3	2	8
GPHA2	0	0	0	0	0	1
GPHB5	0	0	0	1	0	0
GPHN	44	53	36	105	31	29.9999799065
GPI	7457.723	10641.461	5959.5231	12497.423	5260.267	3977.3926
GPIHBP1	1	2	1	3	3	1
GPKOW	339.32	293.731	430.333	501.238	555.045	220.189
GPLD1	46.6746	42.6275	87.1014	85.6536	122.727	61.2209
GPM6A	237.51	346.451	249.932	358.839	420.60637	234.657
GPM6B	38.00001	27.00004	67.00005	47.00004	82	24
GPN1	314	374.99974739	492.0001	597	532	273
GPN2	226	281	189	362	252	130
GPN3	173.0004	205.0001	198.9999	302.03244	233.99953	151.99986
GPNMB	0	0	2	0.999999512428	6	2.000000275815
GPR1	19.87026	7.958033	32.14369	28.4608	31.95411	29.54447
GPR101	0	0	1	0	0	0
GPR107	206.0004	218	245.0001247682	293.00010006311	267	145
GPR108	945	1211	848	1227	947	542
GPR110	6.62322	9.52923	9.27953	22.2217	23.0035	22.36039
GPR111	12.2426	12.2362	19.482	27.511	15.3288	18.257
GPR112	53	25	91.2629	112	92	76
GPR113	36.5761	28.5071	52.9696	27.3599	49.5535	11.337511
GPR114	645	645	831	761	1199	490
GPR115	0	1	4	0	0	2
GPR116	2.00000417882	1.9999979619	6	16.000024158	8.999998851	4.0000005309
GPR119	0	0	3	1	0	0
GPR12	11.2834	8.18869	12.676	25.5481	19.8618	8.25324
GPR123	3	2	6	6	3	3
GPR124	7	1	12	17	11	4
GPR125	15	27	37	48	32	24
GPR126	2.000004303315	2.99999782178	9.000002566	15.9999643591502	5.00000113	11.99995603335
GPR128	0	0	1	0	1	0
GPR132	440.51	377.397	444.042	450.583	574.432	280.631
GPR133	11	17	6	37	6	6
GPR135	1	1	2	5	6	1
GPR137	51.00003	38	35.000017221	49.99998	34.99997	21.00002
GPR137B	25	11	22	21	30	17
GPR137C	5	2	6	14	10	9
GPR139	0	1	0	0	0	2
GPR141	16	8	34	20	59	23
GPR142	1	2	3	2	9	1
GPR143	5	2	10	5	4	2
GPR144	5	1	4	4	2	3
GPR146	1	2	3	5	2	7
GPR148	0	0	0	1	2	0
GPR149	1	1	4	1	0	0
GPR15	14	14	16	32	5	19
GPR150	1	4	4	1	1	1
GPR151	0	1	1	0	2	1
GPR152	5	4	3	6	8	0
GPR153	7	4	7	5	15	16
GPR155	159.9864503	127.812862745	177.1550261158	176.08585263584	251.017134153402	147.598597065
GPR156	10.999971	2.999996	6.000004	2.999997	17.99999	0
GPR157	8	13	7	9	18	4
GPR158	2	0	4.5184	4	5	2
GPR158-AS1	1	0	1.4816	2	4	0
GPR160	9	7	11	8	12	10
GPR161	18.36627	12.5231	29.2433	24.1999	39.31318	27.91633
GPR162	0	2	1	5	5	1
GPR17	2	0	4	1	14	3
GPR171	224	208	298	318	295	165
GPR173	6.92757	0	5.67538	13.9627	9.88339	4.84701
GPR174	26	32	72	40	115	54
GPR176	0	1	5.0000000642883	9	3	6
GPR179	6	1	5	11	4	9
GPR18	166.0001	139	191.9995	191.9997	248.9997	97
GPR180	148	141	137	164	214	124
GPR182	0	0	5	5	1	1
GPR183	132	69	138	112	111	65
GPR19	21	21	24	47	33	14
GPR20	1	1	4	2	1	0
GPR21	3	1	1	2	3	1
GPR22	46	36	28	35	88	39
GPR25	18	1	18	1	115	3
GPR26	7	1	6	7	13	6
GPR27	0	2	1	6.99601	0	2
GPR3	23	24	18	15	31	14
GPR31	0	1	0	1	4	0
GPR32	4	2	1	8	3	4
GPR33	0	0	0	0	1	1
GPR34	22	14	8	24	20	9
GPR35	264.99953	250.00022	123.999700806423	612.9999	102	146.9999
GPR37	2	0	0	7	1	0
GPR37L1	0	7.11585	10.47	16.7635	9.90235	8.57504
GPR39	1	0	1.47121	1.26789	2	0
GPR4	22	21.0356	38	48.0263	54.0586	30
GPR45	1	0	3	2	0	0
GPR50	0	0	0	0	1	1
GPR52	0	3	1	6	8	1
GPR55	19	41	23	33	13	11
GPR56	248.5957	43.45097	983.9459	142.28837	1883.5405	355.0054
GPR6	0	0	0	1	0	1
GPR61	3	1	0	7	4	3
GPR62	6	1	5	1	1	1
GPR63	26.9793	21.94956	45.2737	49.8021	65.5279	14.6532
GPR64	4.000002715159	3	2.0000001863217	4.9999993104613	3.999998353305	0
GPR65	392.857	355.121	447.451	429.836	638.386	279.106
GPR68	730	878	699.0005	1208	708	400.0005
GPR75	4	6	5.28042	10	5	2
GPR75-ASB3	1.71218	0	12.2633	0	0.907468	8.93097
GPR78	12.3227	10.81121	26.57053	35.3557	43.11584	22.74358
GPR82	96.7889	105.431	111.159	197.869	114.271	82.0822
GPR83	32.9539	25.6573	41.1296	36.9158	35.0045	30.751
GPR84	7	44	11	87	30	27
GPR85	34.1612	17.82897	30.2554	38.5676	29.09681	36.388
